v_1;v_9;v_10;v_11;v_12;v_13;v_14;v_15;v_16;v_17;v_18;v_19;v_20;v_26;v_27;v_28;v_29;v_36;v_37;v_38;v_39;v_40;v_41;v_42;v_43;v_46;v_52;v_53;v_54;v_55;v_56;v_57;v_63;v_64;v_65;v_66;v_67;v_68;v_69;v_70;v_71;v_72;v_73;v_74;v_75;v_76;v_82;v_83;v_84;v_85;v_111;v_117;v_118;v_119;v_120;v_121;v_122;v_124;v_142;v_177;v_178;v_179;v_186;v_187;v_188;v_189;v_190;v_191;v_197;v_198;v_199;v_200;v_201;v_202;v_203;v_204;v_205;v_206;v_2598;v_223;v_227;v_246;geschlecht;bildung;beruf;stadt_teil;stadt_teil2;alter;jahr
2;2;2;3;1;1;2;3;3;3;3;2;3;2;1;1;1;1;2;2;1;4;3;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";"";"";"";;"";2017
2;4;2;4;2;2;3;2;2;5;2;1;1;1;2;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;"";"";"";"";;"";2017
3;3;2;2;2;2;3;2;2;3;3;4;2;2;2;3;3;3;4;3;2;4;4;5;4;5;6;3;4;3;5;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";"";"";"";;"";2017
2;2;2;3;3;3;2;2;1;3;1;1;1;1;1;1;1;2;2;2;2;2;2;2;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";"";"";"";;"";2017
2;4;2;3;2;4;3;2;3;2;2;2;3;3;2;3;3;3;3;4;4;3;4;4;5;8;8;4;8;3;3;2;5;4;4;4;3;4;3;4;2;3;4;3;3;3;3;4;3;3;2;4;4;3;3;3;2;2;3;3;2;3;;;;;;;;;;;;;;;;;;;;;"";"";"";"";;"";2017
3;3;2;2;1;3;3;2;3;4;3;2;3;4;2;2;1;2;5;2;1;4;4;4;5;3;7;3;2;3;2;3;6;3;2;3;2;3;2;4;3;4;4;2;4;2;5;5;5;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";"";"";"";;"";2017
3;5;1;5;1;5;4;1;3;5;1;1;5;4;1;1;1;2;4;2;1;5;4;2;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";"";"";"";;"";2017
1;3;1;3;1;3;1;1;1;3;1;2;2;1;4;1;1;2;3;2;2;3;3;;;3;1;7;3;3;3;3;5;3;1;2;3;;1;2;1;2;;;;;5;4;5;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";"";"";"";;"";2017
2;3;2;4;2;3;1;2;2;5;3;2;2;2;1;3;1;;;;;;;;;5;8;8;2;1;4;2;5;2;;2;3;;2;5;3;2;;1;;;4;4;3;2;2;4;4;4;3;3;;2;;2;;;;;;;;;;;;;;;;;;;;;;;"";"";"";"";;"";2017
1;2;2;3;2;3;2;2;1;2;1;2;3;1;1;1;2;2;2;1;2;3;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";"";"";"";;"";2017
