lfdn;external_lfdn;tester;dispcode;lastpage;quality;duration;v_1;v_9;v_10;v_11;v_12;v_13;v_14;v_15;v_16;v_17;v_18;v_19;v_20;v_26;v_27;v_28;v_29;v_36;v_37;v_38;v_39;v_40;v_41;v_42;v_43;v_46;v_52;v_53;v_54;v_55;v_56;v_57;v_63;v_64;v_65;v_66;v_67;v_68;v_69;v_70;v_71;v_72;v_73;v_74;v_75;v_76;v_82;v_83;v_84;v_85;v_111;v_117;v_118;v_119;v_120;v_121;v_122;v_124;v_142;v_268;v_0ab75;v_b4933;v_bcfd1;v_272;v_f9027;v_c054d;v_aaa14;v_276;v_277;v_278;v_279;v_280;v_282;v_284;v_285;v_286;v_289;v_290;v_291;v_294;v_295;v_296;v_297;v_299;v_300;v_301;v_302;v_303;v_304;v_305;v_306;v_307;v_308;v_309;v_310;v_311;v_312;v_313;v_314;v_315;v_319;v_320;v_321;v_322;v_323;v_325;v_326;v_327;v_328;v_329;v_330;v_331;v_332;v_177;v_178;v_179;v_186;v_187;v_188;v_189;v_190;v_191;v_197;v_198;v_199;v_200;v_201;v_202;v_203;v_204;v_205;v_206;v_333;v_334;v_335;v_336;v_337;v_338;v_339;v_2598;v_223;v_225;v_226;v_227;v_228;v_229;v_231;v_233;v_234;v_235;v_236;v_238;v_241;v_2604;v_2605;v_245;v_246;dupl1_v_245;v_250;v_251;v_252;v_253;v_254;v_257;v_259;v_260;v_262;v_263;v_269;v_270;v_271;v_273;v_274;v_275;ext_host;ip_addr;device_type;participant_browser;participant_browser_version;participant_os;participant_device;participant_brand;participant_model;participant_isbot;participant_continent;participant_country;participant_region;participant_city;participant_latitude;participant_longitude;quota;quota_assignment;hflip;vflip;output_mode;javascript;flash;language;cleaned;ats;datetime;date_of_last_access;date_of_first_mail;rts712934;rts712935;rts712936;rts712937;rts712938;rts712939;rts712940;rts712941;rts712942;rts712943;rts712944;rts712945;rts712946;rts712950;rts712951;rts712952;rts712954;rts712958;rts712959;rts712960;rts712961;rts712962;rts712963;rts712965;rts712966;rts712967;rts712969;rts712971;rts712972;rts712974;rts712975;rts712977;rts712978;rts712979;rts712981;rts712982;rts712984;rts712985;rts712986;rts712987;rts712988;rts712990;rts712991;rts712993;rts712994;rts713002;rts713007;rts713010;rts713014;rts713016;rts713018;rts713019;rts713021;rts713023;rts713025;geschlecht;bildung;beruf;stadt_teil;stadt_teil2;alter;indi;jahr
2;0;0;31;"712995";;2568;1;3;2;3;2;3;2;2;1;3;2;2;2;2;2;3;2;3;3;3;3;3;3;3;5;1;1;3;1;1;3;2;6;3;1;2;2;2;2;3;2;3;2;2;3;3;4;3;3;4;2;3;3;2;3;4;3;2;3;1;1;3;3;3;3;3;3;3;2;2;2;2;0;2;3;2;4;1;5;2;3;2;4;3;2;3;2;3;3;3;2;4;4;3;2;3;2;3;2;4;2;4;4;4;3;4;4;3;3;1;3;2;3;2;2;3;2;2;2;2;1;2;3;3;3;3;2;3;2;3;4;4;3;3;3;3;3;3;3;2;3;2;;;3;8;68;1;15;1;2;;2;2;0;5;5;1;0;"-99";0;1;0;0;-66;1;1;"-99";;;;;;;"-99";"-99";0;0;"-99";0;0;0;0;0;0;0;"-99";"-99";"-66";"-66";0;"-66";1;0;0;;;1;0;1554279049;"2019-04-03 08:10:49";"2019-04-03 08:53:37";"0000-00-00 00:00:00";29;32;99;131;197;241;291;739;792;802;841;904;930;948;1004;1012;1023;1608;1614;1623;1923;1966;2028;2065;2074;2077;;2084;2095;;2229;2394;2389;2310;;;2407;2427;2445;2455;2465;;2473;;2568;1063;1117;1147;1195;1244;1295;1482;1600;2052;2054;"weiblich";"Mittlere Reife";"";"Gartenstadt/Ost";3;"61-65";5;2019
6;0;0;31;"712995";;1434;1;3;3;4;2;3;4;2;2;1;1;1;1;1;1;1;1;2;3;2;1;3;2;2;3;2;1;2;1;2;1;2;4;2;1;1;3;3;1;3;3;1;2;2;3;3;3;4;4;4;3;3;3;3;3;3;3;4;2;2;2;2;1;2;2;2;1;1;2;2;1;2;0;1;1;1;4;1;3;2;1;3;3;2;1;2;2;2;2;2;3;1;3;3;3;3;1;2;1;1;1;2;1;;2;1;1;1;2;4;4;4;3;1;1;2;1;1;1;1;5;5;1;1;1;1;1;1;1;1;1;1;3;3;3;3;3;3;1;2;5;1;1;2;;5;120;1;40;2;2;;2;4;2;0;10;1;0;"-99";0;1;0;0;-66;1;1;"-99";;;;;;;"-99";"-99";0;0;"-99";0;0;0;0;0;0;0;"-99";"-99";"-66";"-66";0;"-66";1;0;0;;;1;0;1554282331;"2019-04-03 09:05:31";"2019-04-03 09:29:25";"0000-00-00 00:00:00";3;8;47;140;183;193;231;444;471;479;492;552;566;573;650;659;667;1013;1017;1024;1110;1135;1154;1192;1197;1200;1212;;1217;1231;1250;1258;1267;1271;;;1285;1294;1297;1306;1312;;1316;;1434;705;798;821;835;868;909;967;1007;1181;1186;"weiblich";"Hochschule";"Angestelle/r";"Mitte/Wunderburg";1;"41-45";5;2019
8;0;0;32;"712995";;-1;2;3;2;2;4;4;3;3;2;2;2;1;2;2;4;3;4;1;3;3;2;4;5;6;3;4;8;;9;9;;7;4;4;1;3;3;2;2;6;3;3;2;2;2;2;4;4;2;3;2;3;2;2;3;3;3;2;3;2;2;3;3;3;1;2;2;3;1;2;1;2;0;1;1;1;3;2;2;1;1;2;3;1;2;1;2;;2;4;1;2;4;2;3;2;3;4;5;4;2;2;1;1;3;4;2;3;3;5;1;4;2;3;4;3;1;5;5;3;1;1;3;2;3;4;2;3;2;4;5;5;2;3;3;3;3;3;1;2;4;1;1;2;;8;50;2;;;1;2;;3;0;1;12;1;0;"-99";1;0;0;0;-66;1;1;"-99";;;;;;;"-99";"-99";0;0;"-99";0;0;0;0;0;0;0;"-99";"-99";"-66";"-66";0;"-66";0;1;0;;;1;0;1554282423;"2019-04-03 09:07:03";"2019-04-03 15:03:06";"0000-00-00 00:00:00";5;11;79;101;135;166;195;232;256;266;297;16798;16813;16825;16845;16851;16867;21029;21034;21039;21056;21084;21116;21181;21186;21188;21194;;21205;;21221;;;21225;21229;21264;;21270;21275;21286;21291;;21295;;21363;16894;16936;16970;16991;17042;20905;20971;21022;21132;21175;"weiblich";"(Fach-)Abitur";"Angestelle/r";"Gartenstadt/Ost";3;"18-25";5;2019
11;0;0;31;"712995";;1610;1;2;2;3;2;3;2;2;1;4;1;2;2;1;3;2;2;2;2;2;2;2;3;3;3;3;2;4;2;1;1;1;4;2;2;3;2;3;1;3;2;2;2;2;3;3;4;4;4;4;2;1;1;1;1;3;3;3;1;1;1;1;3;3;1;3;1;3;2;1;1;1;0;1;3;2;4;1;4;1;1;5;5;2;1;1;1;2;2;2;2;3;4;3;2;2;2;2;2;2;1;3;3;3;3;4;3;3;3;3;4;2;2;1;2;3;1;2;2;1;5;4;2;2;3;3;1;2;1;3;3;3;3;3;1;2;3;3;1;2;5;1;1;2;;5;34;1;23;8;1;1;;1;0;3;5;1;0;"-99";0;1;0;0;-66;1;2;"CZ";1;1;3;5;3;1;"-99";"-99";0;0;"-99";0;0;0;0;0;0;0;"-99";"-99";"-66";"-66";0;"-66";1;0;0;;;1;0;1554282493;"2019-04-03 09:08:13";"2019-04-03 09:35:03";"0000-00-00 00:00:00";3;10;74;126;166;184;221;268;415;422;434;482;495;501;519;527;538;801;804;809;863;886;917;973;977;981;987;;994;1003;1012;1505;1515;1518;1521;1543;;1551;1558;1566;1571;;1579;1608;1610;576;621;642;650;673;706;758;795;946;967;"weiblich";"Hochschule";"Angestelle/r";"Gartenstadt/Ost";3;"31-35";5;2019
12;0;0;31;"712995";;596;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;;;;0;-99;0;;;0;;;-99;-99;0;0;0;0;"-99";0;0;0;0;-66;0;0;"-99";;;;;;;"-99";"-99";0;0;"-99";0;0;0;0;0;0;0;"-99";"-99";"-66";"-66";0;"-66";0;1;0;;;1;0;1554282711;"2019-04-03 09:11:51";"2019-04-03 09:21:47";"0000-00-00 00:00:00";47;49;51;52;56;59;62;65;68;71;76;82;87;92;98;100;101;517;518;522;525;534;538;554;557;559;;;561;565;569;;;572;;;;575;583;585;588;;592;;596;110;336;481;483;489;492;506;513;547;550;"";"";"";"";;"";0;2019
13;0;0;31;"712995";;1810;3;4;2;5;3;4;3;2;3;2;4;2;5;6;4;5;5;5;5;3;6;3;4;;5;2;1;2;2;10;4;4;3;6;4;2;5;;4;3;3;3;4;3;;5;4;2;3;3;3;;5;4;4;2;3;3;5;1;1;1;2;3;3;3;3;1;4;3;4;2;0;1;2;3;4;1;2;1;5;4;1;2;2;2;5;5;5;4;;;;;;;;;;;1;1;1;1;;5;5;1;2;1;4;1;4;3;3;3;4;3;4;4;1;1;3;3;2;4;1;3;2;3;4;5;4;3;3;2;3;3;3;1;4;2;;;3;6;110;2;;;2;;1;2;-99;6;1;1;0;"-99";1;0;0;0;-66;1;1;"-99";;;;;;;"-99";"-99";0;0;"-99";0;0;0;0;0;0;0;"-99";"-99";"-66";"-66";0;"-66";1;1;0;;;1;0;1554282819;"2019-04-03 09:13:39";"2019-04-03 09:43:49";"0000-00-00 00:00:00";9;17;32;102;155;176;210;337;468;476;498;560;579;586;617;630;639;920;926;932;1150;1189;1235;1359;1373;1378;;1385;1397;1416;1427;;;1435;;;1457;1463;1468;1472;1479;;1486;;1810;691;735;759;775;805;814;865;915;1282;1351;"maennlich";"(Fach-)Abitur";"";"Berg";5;"66-70";5;2019
17;0;0;31;"712995";;1623;1;3;2;4;2;5;2;2;2;3;2;2;3;2;2;1;1;4;4;4;3;4;2;2;2;5;4;2;2;2;3;1;6;4;2;3;4;2;3;6;2;3;2;1;4;3;3;4;4;5;1;2;2;2;3;2;1;3;3;1;1;1;3;1;1;3;3;1;1;2;1;1;0;1;2;3;3;3;2;1;1;1;3;2;2;2;2;2;3;2;3;3;3;3;2;2;2;3;2;1;1;4;2;3;3;2;2;2;4;3;3;3;1;3;2;2;1;1;1;1;3;3;2;2;2;2;1;3;1;3;4;3;3;3;1;3;1;1;1;1;4;1;2;2;;6;110;1;20;1;2;;1;3;1;3;1;1;0;"-99";0;0;1;0;-66;1;1;"-99";;;;;;;"-99";"-99";0;0;"-99";0;0;0;0;0;0;0;"-99";"-99";"-66";"-66";0;"-66";0;1;0;;;1;0;1554283514;"2019-04-03 09:25:14";"2019-04-03 09:52:17";"0000-00-00 00:00:00";3;8;48;452;490;509;534;680;816;823;850;909;930;937;964;972;981;1298;1302;1309;1352;1379;1425;1453;1458;1460;1466;;1470;1479;1491;1533;1539;1543;;;1570;1588;1601;1604;1610;;1615;;1623;1010;1059;1087;1100;1147;1184;1244;1289;1445;1449;"maennlich";"(Fach-)Abitur";"Angestelle/r";"Berg";5;"31-35";5;2019
24;0;0;31;"712995";;1484;1;2;2;3;3;3;1;1;1;3;1;1;1;1;1;1;1;2;2;2;2;3;1;3;;9;;8;9;6;2;6;5;1;1;3;2;5;3;3;2;1;2;1;2;2;3;3;1;3;2;2;2;3;3;2;2;3;1;2;2;4;4;4;4;4;4;4;1;1;2;2;0;1;3;3;3;2;2;1;1;3;4;3;2;2;3;4;4;2;3;4;2;3;3;3;2;3;1;1;1;2;2;2;3;3;2;3;4;4;2;4;1;2;2;3;1;1;3;1;5;4;4;4;3;1;1;4;2;3;4;3;4;4;3;4;1;1;1;1;5;1;1;4;;6;70;1;50;10;1;1;;2;0;3;1;1;0;"-99";0;0;1;0;-66;1;1;"-99";;;;;;;"-99";"-99";0;0;"-99";0;0;0;0;0;0;0;"-99";"-99";"-66";"-66";0;"-66";0;0;0;;;1;0;1554286531;"2019-04-03 10:15:31";"2019-04-03 10:40:15";"0000-00-00 00:00:00";13;21;75;146;218;237;289;350;456;468;513;576;596;609;644;652;663;1014;1022;1030;1062;1099;1197;1265;1271;1275;1286;;1302;1311;1327;1364;1375;1380;1385;1424;;1433;1446;1448;1456;;1461;;1484;723;767;793;811;863;917;961;1010;1223;1255;"maennlich";"Hochschule";"Freiberufler/in";"Berg";5;"41-45";5;2019
28;0;0;31;"712995";;1687;1;3;2;3;3;2;2;2;2;3;2;3;1;2;1;2;2;2;2;2;2;3;2;2;3;3;1;1;3;2;3;3;3;2;2;2;3;2;2;3;2;2;2;2;3;2;3;4;3;3;3;1;1;2;1;3;1;3;;1;1;4;4;4;1;4;4;4;2;2;2;2;0;1;1;1;3;4;2;2;1;4;4;1;1;1;1;2;2;2;1;3;3;4;3;1;1;3;1;;1;2;1;2;1;3;2;2;3;3;4;4;2;2;2;2;1;1;1;1;5;5;2;1;3;1;2;2;1;3;3;3;3;3;1;3;1;1;1;2;6;1;1;2;;6;140;2;;;2;;2;3;1;5;10;1;0;"-99";0;0;1;0;-66;1;1;"-99";;;;;;;"-99";"-99";0;0;"-99";0;0;0;0;0;0;0;"-99";"-99";"-66";"-66";0;"-66";0;0;0;;;1;0;1554291763;"2019-04-03 11:42:43";"2019-04-03 12:10:50";"0000-00-00 00:00:00";4;14;144;401;448;484;524;574;648;658;691;752;778;789;816;823;836;1264;1268;1272;1324;1357;1413;1506;1528;1531;1542;;1548;1558;1569;;;1571;;;1581;1590;1630;1650;1656;;1663;;1687;887;947;982;1002;1049;1117;1200;1258;1438;1497;"weiblich";"";"Angestelle/r";"Mitte/Wunderburg";1;"36-40";5;2019
30;0;0;31;"712995";;2872;1;2;2;4;2;4;3;2;2;3;2;1;2;1;1;1;1;1;2;1;1;1;3;3;3;1;1;1;1;1;1;1;4;3;2;1;1;3;2;3;1;1;2;2;4;3;4;4;4;3;3;1;1;1;1;5;1;3;2;4;2;4;4;4;4;4;4;4;1;2;1;2;0;1;2;2;2;4;4;1;1;3;4;1;1;1;1;1;1;1;2;2;3;3;2;2;2;2;1;3;2;5;2;5;5;3;3;3;3;3;3;3;4;2;2;3;1;1;1;1;4;4;2;3;2;1;1;1;1;2;4;3;3;3;3;3;3;3;3;2;5;1;1;2;;6;130;1;30;1;2;;2;5;3;4;10;1;0;"-99";0;0;1;0;-66;1;1;"-99";;;;;;;"-99";"-99";0;0;"-99";0;0;0;0;0;0;0;"-99";"-99";"-66";"-66";0;"-66";1;0;0;;;1;0;1554291972;"2019-04-03 11:46:12";"2019-04-03 12:34:04";"0000-00-00 00:00:00";73;78;123;219;282;301;334;1026;1486;1493;1505;1605;1622;1634;1664;1680;1703;2099;2105;2113;2289;2326;2370;2407;2417;2420;2429;;2468;2491;2514;2756;2759;2763;;;2764;2767;2816;2848;2858;;2866;;2872;1760;1825;1897;1914;1940;1985;2050;2093;2393;2401;"weiblich";"Hochschule";"Angestelle/r";"Mitte/Wunderburg";1;"31-35";5;2019
