mutter_new;kind_new
2;65
4;66
6;67
8;68
10;69
12;70
14;71
16;72
18;73
20;74
22;75
24;76
26;77
28;78
30;79
32;80
34;81
36;82
38;83
40;84
42;85
44;86
46;87
48;88
50;89
52;90
54;91
56;92
58;93
60;94
62;95
64;96
66;97
68;98
70;99
72;100
74;101
76;102
78;103
80;104
82;105
84;106
86;107
88;108
90;109
92;110
94;111
96;112
98;113
100;114
102;115
104;116
106;117
108;118
110;119
112;120
114;121
116;122
118;123
120;124
122;125
124;126
126;127
128;129
130;131
133;164
135;165
137;166
139;167
141;168
143;169
145;170
147;171
149;172
151;173
153;174
155;175
157;176
159;177
161;178
163;179
165;180
167;181
169;182
171;183
173;184
175;185
177;186
179;187
181;188
183;189
185;190
187;191
189;192
191;193
193;128
195;196
197;198
199;206
201;204
203;205
205;199
207;132
209;210
211;214
213;215
215;216
217;207
219;221
221;223
223;224
225;226
227;217
229;227
231;232
233;235
235;240
237;238
239;241
241;242
243;133
245;246
247;243
249;252
251;253
253;257
255;256
257;258
259;247
261;130
263;260
265;261
267;272
269;273
271;274
273;275
275;134
277;298
279;292
281;293
283;294
285;295
287;282
289;283
291;284
293;296
295;297
297;303
299;306
301;307
303;304
305;135
307;302
309;310
311;312
313;314
315;305
317;318
319;322
321;323
323;324
325;327
327;329
329;330
331;315
333;331
335;140
337;141
339;342
341;343
343;148
345;149
347;350
349;352
351;353
353;152
355;153
357;362
359;368
361;370
363;372
365;373
367;374
369;375
371;376
373;377
375;378
377;379
379;380
381;156
383;386
385;387
387;157
389;390
391;158
393;396
395;397
397;391
399;400
401;414
403;404
405;410
407;411
409;412
411;413
413;401
415;160
417;415
419;422
421;423
423;426
425;427
427;161
429;432
431;436
433;437
435;438
437;440
439;444
441;445
443;446
445;447
447;450
449;451
451;162
453;470
455;471
457;472
459;473
461;474
463;475
465;476
467;477
469;480
471;481
473;482
475;483
477;484
479;485
481;487
483;488
485;489
487;490
489;491
491;163
130;492
494;495
494;496
193;493
126;497
126;499
126;501
126;504
126;505
126;507
498;516
498;517
498;518
500;519
500;520
500;521
502;522
502;523
502;524
504;509
504;510
504;511
504;512
506;525
506;526
508;527
508;528
513;515
529;531
529;532
128;529
261;533
261;535
261;537
533;538
535;539
535;540
512;555
512;556
519;546
519;547
520;549
520;550
520;551
521;553
521;554
523;558
523;559
542;560
542;561
544;557
513;563
564;565
564;566
122;567
122;568
124;569
124;570
124;571
124;572
575;573
575;265
577;574
579;575
587;577
585;578
581;579
589;576
583;580
579;590
114;591
594;2
598;38
600;23
602;24
604;25
606;28
608;10
610;9
612;11
614;1
