ereignis;beginn;ende;level
Reformation;01.01.1517;25.09.1555;national
Pluenderung und Brand der Giechburg;01.01.1553;01.01.1553;regional
Wiedereroeffnung Universitaet Wuerzburg;01.01.1582;01.01.1582;regional
Wiederaufbau der Giechburg;01.01.1599;31.12.1609;regional
Neubau des Guegel;01.01.1610;01.01.1614;regional
Hexenverfolgung;01.01.1616;31.12.1631;regional
Dreissigjaehriger Krieg;23.05.1618;24.10.1648;international
Dreissigjaehriger Krieg in Bamberg;01.02.1633;31.12.1650;regional
Franzoezische Revolution;26.08.1789;01.01.1799;international
Franzoesische Truppen in Franken;30.07.1796;15.10.1813;regional
Napoleonische Kriege;01.01.1800;31.12.1815;international
Eroeffnung Ludwig-Donau-Main Kanal;06.05.1843;06.05.1843;regional
Deutsche Revolution;01.03.1848;01.07.1849;national
Deutsch-Franzoesischer Krieg;19.7.1870;10.05.1871;international
Gruendung des Deutschen Kaiserreichs;16.04.1871;16.04.1871;national
1. Weltkrieg;28.07.1914;11.11.1918;international
Hitlerputsch;08.11.1923;09.11.1923;regional
Hyperinflation;01.01.1919;31.12.1923;international
Das Dritte Reich;30.01.1933;08.05.1945;national
2. Weltkrieg;01.09.1939;02.09.1945;international
Berliner Mauer;13.08.1961;09.11.1989;national
Mondlandung;21.07.1969;21.07.1969;international
Deutscher Herbst;01.09.1977;31.10.1977;national
Der 11. September;11.09.2001;11.09.2001;international
