"";"bplace";"lat";"lon"
"1";"Albersfeld";"9,5790285";"47,7633119"
"2";"Altenkundstadt";"11,2395753";"50,1280683"
"3";"Augsfeld";"10,5483741";"50,0270591"
"4";"Bamberg";"10,9027636";"49,8988135"
"5";"Buch";"10,421105";"50,04907"
"6";"Burgellern";"11,0441172";"49,9889484"
"7";"Burkheim";"11,202676";"50,113458"
"8";"Dampfach";"10,4267079";"49,9903593"
"9";"Demmelsdorf";"11,0597782";"49,9708924"
"10";"Dippach";"10,712844";"49,95723"
"11";"Eckartshausen";"10,696559";"50,201734"
"12";"Ehrl";"11,056993";"49,998591"
"13";"Eltinghausen";"10,1197095";"50,157067"
"14";"Eltmann";"10,6635056";"49,9673521"
"15";"Falsbrunn";"10,6003306";"49,879387"
"16";"Gaedheim";"10,348634";"50,022258"
"17";"Garstadt";"10,1723244";"49,9746902"
"18";"Gerolzhofen";"10,3495174";"49,9005963"
"19";"Geutenreuth";"11,28741";"50,089717"
"20";"Giech";"11,000369";"49,959083"
"21";"Graefenhaeusling";"11,133569";"50,00337"
"22";"Gresshausen";"10,383257";"50,03628"
"23";"Grettstadt";"10,3115872";"49,9857983"
"24";"Grosswenkheim";"10,311302";"50,25578"
"25";"Hainert";"10,5008151";"49,9983296"
"26";"Halbersdorf";"10,6385136";"49,8700338"
"27";"Haslach";"8,088127";"48,276606"
"28";"Herpersdorf";"10,442141";"49,692"
"29";"Holzkirchen";"9,680644";"49,781643"
"30";"Humprechtshausen";"10,4490723";"50,119869"
"31";"Kehlingsdorf";"10,5895113";"49,8658284"
"32";"Kerbfeld";"10,464004";"50,138597"
"33";"Kirchaich";"10,682048";"49,9181219"
"34";"Kleinmuenster";"10,452361";"50,094671"
"35";"Kleinsteinach";"10,4490846";"50,1107731"
"36";"Knetzgau";"10,5463718";"49,9925629"
"37";"Koenigsbrunn";"10,889262";"48,256096"
"38";"Koenigsfeld";"11,163963";"49,946518"
"39";"Koppenwind";"10,566573";"49,8734339"
"40";"Koettensdorf";"11,019186";"49,955182"
"41";"Kremmeldorf";"11,01008";"49,9377169"
"42";"Kreuzthal";"10,406635";"50,102576"
"43";"Mechenried";"10,4760376";"50,091437"
"44";"Merkendorf";"10,959523";"49,959728"
"45";"Mittelsteinach";"10,570046";"49,659494"
"46";"Neuses am Sand";"10,3536977";"49,84449"
"47";"Oberhaid";"10,813163";"49,9336649"
